,date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,z_score,is_anomaly,rolling_mean,rolling_std,dynamic_z
390,2016-01-14 10:00:00,420,20,18.6666666666667,43.49,18.29,42.09,19.23,42.5666666666667,18.7,42.26,17.5,49.3266666666667,2.29,94.69,17.5333333333333,38.79,18.29,45.9666666666667,16.79,46.0266666666667,1.9,748.7,95.0,6.0,40.0,1.2,7.36614498309791,7.36614498309791,3.143676039198585,True,87.08333333333333,100.17502289127572,3.3233500433336114
392,2016-01-14 10:20:00,550,10,18.7,43.433333333333294,18.39,42.09,19.26,42.5266666666667,18.7,42.29,17.39,51.1966666666667,2.29,94.9,17.5,38.6175,18.23,45.73,16.89,46.5266666666667,2.03333333333333,748.766666666667,94.3333333333333,5.3333333333333295,40.0,1.23333333333333,46.261496760416776,46.261496760416776,4.411660811662882,True,93.88888888888889,116.28710894071753,3.922284381011087
393,2016-01-14 10:30:00,690,10,18.79,43.7666666666667,18.5,42.06,19.32,43.145,18.7,42.5,17.3233333333333,51.863333333333294,2.4,94.95,17.5,38.59,18.23,45.6566666666667,16.89,46.4,2.1,748.7999999999998,94.0,5.0,40.0,1.25,25.35178012913093,25.35178012913093,5.777182874316741,True,102.63888888888889,135.771069286082,4.326113907768435
394,2016-01-14 10:40:00,620,10,18.79,43.69333333333329,18.566666666666695,41.7266666666667,19.6933333333333,44.86,18.76,42.3,17.26,52.4,2.43333333333333,95.06333333333329,17.5,38.5,18.2,45.5,16.89,46.26,2.16666666666667,748.8333333333329,93.6666666666667,4.66666666666667,40.0,1.26666666666667,7.7425508527085185,7.7425508527085185,5.094421842989812,True,110.83333333333333,148.53035920522717,3.42803093853117
395,2016-01-14 10:50:00,610,10,18.823333333333295,43.26,18.6333333333333,41.4666666666667,20.1966666666667,46.3966666666667,18.79,42.09,17.2,52.5266666666667,2.5,95.19,17.4266666666667,38.36,18.2,45.433333333333294,16.89,46.1266666666667,2.2333333333333294,748.866666666667,93.3333333333333,4.3333333333333295,40.0,1.28333333333333,17.415102606173605,17.415102606173605,4.996884552800251,True,118.88888888888889,159.4140287141026,3.080727054404245
431,2016-01-14 16:50:00,740,0,21.39,40.5666666666667,20.79,38.29,21.4175,43.44,18.7,42.3266666666667,17.1,53.03,5.1233333333333295,73.98999999999998,17.5666666666667,38.4,18.066666666666695,45.43,17.0,43.73,4.73333333333333,747.85,76.5,6.8333333333333295,40.0,0.9166666666666669,3.623031673487276,3.623031673487276,6.264869325264547,True,188.33333333333334,179.97652429073813,3.0652145819612113
432,2016-01-14 17:00:00,910,0,21.463333333333296,41.69333333333329,20.8566666666667,38.363333333333294,21.6666666666667,43.93,18.7,42.66,17.1,53.0,4.96666666666667,74.1666666666667,17.6,38.53,18.2,45.59,17.0,43.4666666666667,4.6,747.9,76.0,7.0,40.0,0.7,18.93797202501446,18.93797202501446,7.923003258487089,True,200.41666666666666,198.16366475257016,3.5807943611626722
524,2016-01-15 08:20:00,150,10,21.066666666666695,33.4333333333333,19.15,32.95,19.3266666666667,36.53,18.1,42.4,17.9266666666667,56.06,2.43333333333333,86.98999999999998,18.29,41.76,19.0,47.933333333333294,17.39,46.26,3.2,752.9333333333329,78.6666666666667,8.66666666666667,40.0,-0.2,19.403924443759024,19.403924443759024,0.5101692040804295,True,57.5,26.25712512287518,3.522853304279458
525,2016-01-15 08:30:00,390,20,21.0,33.56,19.323333333333295,33.53,19.663333333333295,37.09,18.1,42.3266666666667,17.89,56.1333333333333,2.5,85.3966666666667,18.29,41.3666666666667,18.9266666666667,47.723333333333294,17.39,46.1266666666667,3.2,753.0,79.0,9.0,40.0,-0.15,46.40887741697952,46.40887741697952,2.8510641686299008,True,61.388888888888886,46.82317818825912,7.018129136597355
526,2016-01-15 08:40:00,390,10,20.89,33.86,19.53,33.99,19.93,37.223333333333294,18.2633333333333,42.4666666666667,17.89,55.8,2.53,85.5666666666667,18.245,40.295,18.9266666666667,47.39,17.29,45.723333333333294,3.2,753.0666666666668,79.3333333333333,9.33333333333333,40.0,-0.1,40.21953856572509,40.21953856572509,2.8510641686299008,True,65.41666666666667,60.62903827119602,5.353595283525026
527,2016-01-15 08:50:00,380,10,20.89,34.1933333333333,19.66,34.618,20.05,37.395,18.656666666666695,42.3266666666667,17.89,55.4,2.59,85.1666666666667,18.1666666666667,39.49,18.89,46.93,17.29,45.39,3.2,753.1333333333331,79.6666666666667,9.66666666666667,40.0,-0.05,37.93484035413712,37.93484035413712,2.7535268784403395,True,69.16666666666667,70.90461754168345,4.3838235662240255
528,2016-01-15 09:00:00,400,10,20.79,34.6666666666667,19.7,34.7666666666667,20.1,37.6566666666667,19.3,42.2,17.89,55.0,2.56,85.1333333333333,18.1,39.1566666666667,18.89,46.6566666666667,17.29,44.9,3.2,753.2,80.0,10.0,40.0,0.0,47.86249444587156,47.86249444587156,2.948601458819462,True,72.91666666666667,80.6389536456819,4.056145554299961
529,2016-01-15 09:10:00,370,10,20.79,35.1933333333333,19.7,35.1,20.1,37.93,19.6933333333333,41.9266666666667,17.89,54.6333333333333,2.5,85.1333333333333,18.1,38.7966666666667,18.8566666666667,46.0633333333333,17.29,44.5,3.2,753.283333333333,80.3333333333333,9.83333333333333,40.0,0.05,49.695693934336305,49.695693934336305,2.6559895882507782,True,76.11111111111111,87.58988229492147,3.3552835234935445
539,2016-01-15 10:50:00,380,10,20.9266666666667,38.29,20.29,38.0666666666667,20.39,39.5,20.1061728395062,40.1297530864198,17.79,52.6266666666667,3.2,79.3666666666667,17.89,37.06,18.6,43.6633333333333,17.29,43.03,3.7833333333333297,754.2,82.0,8.16666666666667,30.8333333333333,0.966666666666667,31.088663975242525,31.088663975242525,2.7535268784403395,True,83.05555555555556,97.98877327026278,3.0303925085932257
711,2016-01-16 15:30:00,370,10,21.76,39.06,20.79,38.363333333333294,20.79,41.4,20.29,41.09,19.533333333333296,57.5,3.9666666666666694,96.12333333333329,20.6,38.33333333333329,20.34,43.8975,18.1,43.5266666666667,4.65,764.25,69.0,5.5,52.5,-0.7,23.506430885754526,23.506430885754526,2.6559895882507782,True,88.61111111111111,87.39267954574144,3.2198221905029194
712,2016-01-16 15:40:00,410,20,21.7,38.933333333333294,20.79,38.23,20.79,41.4,20.43,41.4233333333333,19.5,56.863333333333294,3.82666666666667,96.19,20.575,37.975,20.323333333333295,43.5666666666667,18.1,43.2225,4.46666666666667,764.4333333333329,69.6666666666667,5.0,56.66666666666669,-0.733333333333333,6.014112790580839,6.014112790580839,3.0461387490090237,True,93.61111111111111,95.11010010724415,3.3265540519054806
730,2016-01-16 18:40:00,560,20,21.73,40.9,20.79,37.79,20.7,40.433333333333294,20.823333333333295,39.2666666666667,18.963333333333296,52.1333333333333,0.8,96.09,19.79,37.1214285714286,20.89,42.76,17.79,40.76,2.16666666666667,764.966666666667,84.0,4.3333333333333295,40.0,-0.266666666666667,36.490164394490414,36.490164394490414,4.509198101852443,True,138.05555555555554,126.69847636164788,3.3303040143911997
731,2016-01-16 18:50:00,1080,30,21.93,42.7666666666667,21.04,38.08,20.7,40.6333333333333,20.89,39.7333333333333,18.89,51.8816666666667,0.466666666666667,96.09,19.79,37.18428571428569,20.9266666666667,42.6633333333333,17.79,40.6725,2.0833333333333295,765.033333333333,85.5,3.6666666666666705,40.0,-0.0833333333333333,27.408520714379847,27.408520714379847,9.581137191709631,True,152.36111111111111,168.0249231643384,5.520841024171175
732,2016-01-16 19:00:00,750,20,22.163333333333295,42.4,21.2864285714286,38.39,20.86,41.723333333333294,20.89,39.9266666666667,18.89,51.8144444444444,0.1666666666666669,96.09,19.716875,36.946875,20.937142857142895,42.6214285714286,17.79,40.59,2.0,765.1,87.0,3.0,40.0,0.1,37.56109927780926,37.56109927780926,6.362406615454108,True,162.08333333333334,181.71280156753156,3.2354168864001247
805,2016-01-17 07:10:00,400,0,20.89,40.5,20.1,39.5,21.1,42.73,19.7,42.0,18.2,53.59,0.5999999999999999,96.12333333333329,19.39,41.2,20.5,49.4,17.8233333333333,46.03,0.28333333333333294,764.366666666667,96.0,2.8333333333333295,27.3333333333333,-0.316666666666667,33.85530507657677,33.85530507657677,2.948601458819462,True,90.97222222222223,87.42255683105743,3.534874624806142
806,2016-01-17 07:20:00,390,10,20.79,40.53,20.033333333333296,39.433333333333294,21.1,42.76,19.893333333333295,42.1266666666667,18.2,53.59,0.5333333333333329,96.19,19.39,41.2,20.5,49.4,17.89,46.09,0.0666666666666667,764.4333333333329,96.0,2.66666666666667,26.666666666666696,-0.533333333333333,17.397373402491212,17.397373402491212,2.8510641686299008,True,91.52777777777777,89.20082931184956,3.346070036846314
807,2016-01-17 07:30:00,370,10,20.79,40.723333333333294,20.0,39.433333333333294,21.1,42.6266666666667,20.2933333333333,42.1266666666667,18.2,53.59,0.2666666666666669,96.19,19.39,41.2,20.5,49.29,17.865,46.0425,-0.15,764.5,96.0,2.5,26.0,-0.75,47.35102608101442,47.35102608101442,2.6559895882507782,True,91.94444444444444,90.43928613021731,3.074499672135873
808,2016-01-17 07:40:00,390,10,20.79,40.933333333333294,20.0,39.56,21.1,42.59,20.7633333333333,41.9,18.2,53.59,0.0666666666666666,96.19,19.39,41.2,20.5,49.29,17.8566666666667,45.9,-0.366666666666667,764.5666666666668,96.0,2.3333333333333295,25.3333333333333,-0.9666666666666659,16.931188746821135,16.931188746821135,2.8510641686299008,True,93.33333333333333,94.21282470039914,3.148898970072063
813,2016-01-17 08:30:00,470,10,20.79,41.26,20.0,40.09,21.0,42.1633333333333,21.79,40.6333333333333,18.1,53.5,-0.9,95.8,19.29,41.29,20.39,48.933333333333294,17.79,45.5,-0.8,764.75,94.5,2.0,26.0,-1.6,47.99843030050397,47.99843030050397,3.6313624901463912,True,103.61111111111111,112.7917881782098,3.2483649280388964
867,2016-01-17 17:30:00,800,10,21.5,36.76,20.1,36.07727272727271,20.79,37.26,21.0,36.8266666666667,18.03,46.027,-0.833333333333333,94.9266666666667,21.412,31.1,22.5,38.858,18.1,37.26,0.0,764.85,78.0,2.0,40.0,-3.5,31.55243737855926,31.55243737855926,6.850093066401915,True,183.33333333333334,153.12703002391055,4.027157495122678
868,2016-01-17 17:40:00,790,10,21.566666666666695,38.6266666666667,20.1,37.0409090909091,20.79,37.26,21.066666666666695,36.9666666666667,18.0,46.1175,-1.03333333333333,95.26,21.365,31.2475,22.5,39.45,18.1,37.29,-0.266666666666667,764.8333333333329,79.6666666666667,2.0,40.0,-3.4666666666666694,36.170215613674365,36.170215613674365,6.752555776212354,True,193.88888888888889,167.8912756464272,3.5505782466415883
1016,2016-01-18 18:20:00,230,10,19.1,41.0,17.79,41.56,19.39,40.3266666666667,18.5,38.2,17.39,54.5675,-2.035,90.4466666666667,18.7,34.5,19.315,42.0225,17.0,37.1266666666667,-2.16666666666667,756.6,85.6666666666667,3.0,24.0,-4.26666666666667,43.84292060276493,43.84292060276493,1.29046752559692,True,44.166666666666664,25.660294312913358,7.242057751450421
1017,2016-01-18 18:30:00,660,10,19.1,40.933333333333294,17.79,41.433333333333294,19.3566666666667,40.2,18.463333333333296,38.1633333333333,17.34,54.5,-2.155,90.7383333333333,18.6,34.59,19.412,42.196,17.0,37.2,-2.25,756.6,85.0,3.0,24.0,-4.45,14.824239898007365,14.824239898007365,5.484571003748057,True,52.638888888888886,76.98532978149098,7.889309727385678
1018,2016-01-18 18:40:00,510,0,19.1,41.0,17.79,41.463333333333296,19.29,40.26,18.39,38.1633333333333,17.29,54.5,-2.2911111111111095,90.71111111111107,18.6,34.59,19.566666666666695,42.4666666666667,17.0,37.29,-2.3333333333333295,756.6,84.3333333333333,3.0,24.0,-4.633333333333329,6.629595486447215,6.629595486447215,4.021511650904636,True,59.166666666666664,93.95458897112141,4.798417387275302
1026,2016-01-18 20:00:00,480,0,20.1,41.8266666666667,18.76,42.5266666666667,19.7,40.59,18.29,38.5,18.0,70.1975,-2.97222222222222,89.72777777777779,18.5,34.8555555555556,20.1333333333333,43.83,17.0,39.36,-2.5,756.9,78.0,3.0,27.0,-5.8,25.94690436962992,25.94690436962992,3.7288997803359525,True,80.41666666666667,118.37440601751697,3.3755889197383024
1028,2016-01-18 20:20:00,630,10,20.2,41.69333333333329,19.066666666666695,42.53,20.066666666666695,42.7333333333333,18.2,38.2225,19.623333333333296,84.96666666666668,-3.06,89.9105555555556,18.29,33.49,20.1333333333333,42.93,17.0666666666667,39.863333333333294,-2.66666666666667,756.866666666667,79.6666666666667,2.66666666666667,26.0,-5.7,17.160156788304448,17.160156788304448,5.191959133179373,True,94.44444444444444,140.36059084251104,3.8155692587277974
1029,2016-01-18 20:30:00,600,10,20.29,41.363333333333294,19.2,41.9233333333333,20.3266666666667,43.8,18.4,38.7333333333333,19.0233333333333,86.5666666666667,-3.06,90.0461111111111,18.29,33.1566666666667,20.1333333333333,43.2,17.0,39.39,-2.75,756.85,80.5,2.5,25.5,-5.65,35.25376700563356,35.25376700563356,4.899347262610688,True,102.08333333333333,152.36111200271603,3.26800362718402
1031,2016-01-18 20:50:00,740,10,20.463333333333296,40.7666666666667,19.39,41.06,20.76,46.05666666666671,19.496666666666705,38.69333333333329,18.4266666666667,86.4644444444445,-3.21,89.2366666666667,18.2,32.4228571428571,20.2257142857143,42.729285714285695,16.9266666666667,38.3666666666667,-2.91666666666667,756.8166666666668,82.1666666666667,2.16666666666667,24.5,-5.55,23.46895188093185,23.46895188093185,6.264869325264547,True,117.63888888888889,174.68275514551186,3.5628079634574132
1157,2016-01-19 17:50:00,190,20,19.2,39.53,17.79,40.245,19.0,39.6633333333333,17.89,37.4,16.3122222222222,54.745,-3.41555555555556,83.2322222222222,18.84,31.6666666666667,19.757857142857105,40.0364285714286,16.79,38.09,-1.75,757.65,81.5,1.0,20.3333333333333,-4.53333333333333,11.148911598138511,11.148911598138511,0.9003183648386748,True,42.916666666666664,20.51708322899084,7.168822765484675
1158,2016-01-19 18:00:00,350,10,19.1666666666667,39.4666666666667,17.7,40.1633333333333,18.9266666666667,39.05666666666671,17.89,37.4,16.3122222222222,54.7,-3.62277777777778,83.1988888888889,18.79,31.6888888888889,19.79,40.4663636363636,16.79,38.09,-2.0,757.7,83.0,1.0,20.0,-4.5,6.101274979300797,6.101274979300797,2.4609150078716557,True,47.22222222222222,41.595714236919676,7.279061877702707
1159,2016-01-19 18:10:00,210,10,19.1,39.2666666666667,17.7,39.963333333333296,18.76,38.73,17.815,37.4,16.29,54.7,-3.80444444444444,83.3572222222222,18.765,31.745,19.8572222222222,40.8255555555556,16.76,38.09,-2.11666666666667,757.733333333333,83.8333333333333,1.0,27.3333333333333,-4.48333333333333,19.261971244122837,19.261971244122837,1.0953929452177973,True,49.166666666666664,45.74115784637227,3.516162268421656
1165,2016-01-19 19:10:00,260,10,19.0,39.463333333333296,17.6666666666667,40.1333333333333,18.79,38.9,17.7,37.59,16.2675,54.351875,-4.69111111111111,82.94388888888889,18.40375,32.0,20.29,43.2257142857143,16.6,37.7,-2.75,757.95,88.1666666666667,0.833333333333333,63.66666666666669,-4.43333333333333,18.865175696555525,18.865175696555525,1.583079396165604,True,58.05555555555556,54.55682885152763,3.7015429359727143
1166,2016-01-19 19:20:00,550,0,19.0,39.863333333333294,17.73,40.26,18.79,38.8266666666667,17.7,37.53,16.29,54.29,-4.7938888888888895,83.04555555555558,18.362727272727305,31.7081818181818,20.29,42.9916666666667,16.6,37.5266666666667,-2.8,758.0,88.3333333333333,0.6666666666666669,63.33333333333329,-4.46666666666667,47.66578061971813,47.66578061971813,4.411660811662882,True,65.0,79.59404040256788,6.093421034376247
1167,2016-01-19 19:30:00,480,10,19.033333333333296,40.7666666666667,17.79,40.2,18.79,38.9566666666667,17.6,37.1,16.254,54.069,-4.8333333333333295,83.3488888888889,18.2623076923077,31.3176923076923,20.272,42.26,16.6,37.2666666666667,-2.85,758.0499999999998,88.5,0.5,63.0,-4.5,13.662643381394444,13.662643381394444,3.7288997803359525,True,70.97222222222223,93.38938206410883,4.379810303241896
1171,2016-01-19 20:10:00,460,10,19.323333333333295,40.8,18.1,40.1633333333333,20.066666666666695,43.03,17.5,36.5,16.96,67.76,-4.99722222222222,83.54,18.0,30.3566666666667,20.323333333333295,41.06,16.5,36.3266666666667,-3.25,758.2,89.8333333333333,0.3333333333333329,61.83333333333329,-4.73333333333333,38.1302346009761,38.1302346009761,3.53382519995683,True,88.88888888888889,116.26288273982098,3.1919999088754962
1172,2016-01-19 20:20:00,570,20,19.39,41.1333333333333,18.2,40.5,20.2925,43.0675,17.5,36.5,17.2266666666667,61.0266666666667,-5.21611111111111,82.5744444444445,18.0,30.23,20.39,40.933333333333294,16.4633333333333,36.1333333333333,-3.5,758.2,90.6666666666667,0.6666666666666669,61.66666666666669,-4.86666666666667,22.120241692755368,22.120241692755368,4.606735392042005,True,96.11111111111111,129.239983735418,3.666735906273721
1246,2016-01-20 08:40:00,350,20,18.23,37.7666666666667,16.79,37.933333333333294,18.6,38.3975,17.1,36.9,16.5416666666667,49.1725,-3.1725,91.12,16.6,30.1428571428571,18.745,42.3764285714286,16.0666666666667,37.723333333333294,-2.2666666666666706,759.6,87.3333333333333,3.3333333333333295,61.33333333333329,-4.06666666666667,48.05495886830613,48.05495886830613,2.4609150078716557,True,69.86111111111111,80.30738579254415,3.488332811786004
1247,2016-01-20 08:50:00,360,10,18.2,37.7,16.79,38.393333333333295,18.6,38.23,17.0,36.79,16.5,49.09,-3.0,91.46333333333328,16.6,30.1,18.7,42.2736363636364,16.0,37.463333333333296,-2.2333333333333294,759.7,87.6666666666667,3.6666666666666705,61.16666666666669,-3.9833333333333294,39.62976820766926,39.62976820766926,2.558452298061217,True,68.61111111111111,74.82007630620492,3.8945280902463297
1266,2016-01-20 12:00:00,330,10,18.1,36.7966666666667,16.79,37.4,18.23,37.4,16.79,36.59,16.89,60.76333333333329,0.233333333333333,95.9,16.5142857142857,32.3128571428571,19.0,41.433333333333294,15.8,40.2,-0.9,760.6,84.0,3.0,61.0,-3.3,25.393969845026728,25.393969845026728,2.2658404274925332,True,70.13888888888889,70.72049836425688,3.6744807675513846
1298,2016-01-20 17:20:00,340,0,17.39,36.75,16.39,36.9666666666667,17.8566666666667,37.43,16.29,36.29,16.2,51.59,1.39,96.69,16.2,31.0944444444444,20.116666666666696,41.73,15.6,35.59,0.233333333333333,760.4333333333329,88.0,2.0,55.66666666666669,-1.5,19.963286840356886,19.963286840356886,2.3633777176820945,True,89.30555555555556,74.53756759370114,3.363330096991649
1299,2016-01-20 17:30:00,360,0,17.39,36.9666666666667,16.39,36.933333333333294,17.79,37.29,16.29,36.29,16.1722222222222,51.645,1.32333333333333,96.69,16.2,31.116666666666696,20.1,41.4294444444444,15.6,35.6266666666667,0.2,760.5,88.5,2.0,54.5,-1.45,1.0473472299054265,1.0473472299054265,2.558452298061217,True,93.61111111111111,80.91563256327052,3.29218076223517
1307,2016-01-20 18:50:00,830,10,17.6,38.09,16.96,38.03,17.79,37.39,16.2,36.53,16.0388888888889,51.3983333333333,0.8,96.4,16.1,31.3566666666667,20.2,40.8694444444444,15.5,35.7,-0.15,760.7,92.5,2.0,48.5,-1.21666666666667,25.79119380097836,25.79119380097836,7.142704936970599,True,105.13888888888889,114.64572565087461,6.3226178472496875
1308,2016-01-20 19:00:00,540,30,17.7633333333333,41.16,17.2225,38.1675,17.8566666666667,37.723333333333294,16.2,36.59,16.0722222222222,51.3816666666667,0.8,96.46666666666668,16.1,31.441666666666695,20.2,40.76388888888889,15.4266666666667,35.7,-0.2,760.7,93.0,2.0,48.0,-1.2,30.015259725041687,30.015259725041687,4.314123521473321,True,111.94444444444444,125.36862703546446,3.4143753958035017
1418,2016-01-21 13:20:00,290,0,18.1,37.0,17.29,36.29,18.1,38.59,17.79,36.36,16.39,41.2872222222222,2.0666666666666695,96.1933333333333,16.7,29.7294444444444,18.6,37.5477777777778,15.8,35.73,3.86666666666667,764.1,56.0,1.33333333333333,35.0,-4.26666666666667,48.01335820229724,48.01335820229724,1.8756912667342878,True,50.97222222222222,30.496350380683875,7.837914202650817
1419,2016-01-21 13:30:00,360,0,18.1,37.06,17.29,36.26,18.1,38.56,17.7633333333333,36.4,16.39,41.103333333333296,2.3333333333333295,96.5266666666667,16.7,29.5833333333333,18.6,37.3561111111111,15.89,36.03,4.0,764.0499999999998,56.0,1.5,42.5,-4.15,19.23432956682518,19.23432956682518,2.558452298061217,True,55.138888888888886,47.500720692992054,6.418031277493613
1420,2016-01-21 13:40:00,230,0,18.1,37.1633333333333,17.29,36.2,18.1,38.5,18.156666666666695,36.4,16.445,41.0,2.53,96.69,16.715,29.4572222222222,18.6611111111111,37.255,15.89,36.5633333333333,4.133333333333329,764.0,56.0,1.66666666666667,50.0,-4.03333333333333,47.08009896567091,47.08009896567091,1.29046752559692,True,57.77777777777778,51.73666317147735,3.3288235395352883
1450,2016-01-21 18:40:00,430,20,19.6,34.9233333333333,18.29,33.66,18.39,37.39,17.76,35.6,17.8788888888889,37.8411111111111,-1.53333333333333,91.0,17.3288888888889,28.3138888888889,19.2955555555556,37.6855555555556,15.9633333333333,37.03,-0.43333333333333296,764.5666666666668,81.6666666666667,1.0,64.3333333333333,-3.2333333333333294,26.4082875684835,26.4082875684835,3.241213329388146,True,67.36111111111111,69.90925819837169,5.18727988587548
1451,2016-01-21 18:50:00,1070,30,19.6,34.3,18.4266666666667,33.9633333333333,18.39,36.93,17.7,35.4,17.8566666666667,37.6083333333333,-1.6,90.93333333333328,17.29,28.225,19.3566666666667,37.4294444444444,16.0,36.93,-0.616666666666667,764.533333333333,82.8333333333333,1.0,64.1666666666667,-3.2166666666666694,11.735734005924314,11.735734005924314,9.483599901520071,True,81.52777777777777,137.25333544496027,7.201808386060008
1452,2016-01-21 19:00:00,890,20,19.73,37.863333333333294,18.566666666666695,34.09,18.39,36.863333333333294,17.6,35.1333333333333,17.8677777777778,37.728333333333296,-1.73,91.23,17.235,28.1538888888889,19.39,37.228888888888896,16.0,36.73,-0.8,764.5,84.0,1.0,64.0,-3.2,3.2215830753557384,3.2215830753557384,7.727928678107967,True,93.19444444444444,167.01038500972155,4.770994064286326
1536,2016-01-22 09:00:00,340,0,18.5,38.56,17.365,38.3725,18.7,39.2,16.29,38.7,16.39,47.4777777777778,-0.733333333333333,94.5266666666667,16.2,32.9,18.29,43.338333333333296,16.0,42.03,-0.1,762.9,78.0,4.0,21.0,-3.6,27.794303884729743,27.794303884729743,2.3633777176820945,True,56.388888888888886,57.51437188560685,4.931134633186973
1548,2016-01-22 11:00:00,340,0,18.29,38.59,17.39,38.5,18.5,39.23,16.29,38.59,16.29,47.59,1.63333333333333,94.5333333333333,16.2,33.0,18.0777777777778,42.1372222222222,15.8,40.1633333333333,1.2,762.6,76.0,4.0,21.0,-2.7,23.749721178319305,23.749721178319305,2.3633777176820945,True,50.27777777777778,50.767967671268885,5.706791812077692
